cod_periodo;cod_segmento;cod_tarifa;cod_cliente;cod_terminal;consumo
01/04/2017;seg2;102;2114;1903;24,6
01/04/2017;seg2;102;1220;1098;41,5
01/04/2017;seg2;103;8745;7871;43
01/04/2017;seg2;103;5100;4590;37
01/04/2017;seg2;103;4186;3767;30,54
01/04/2017;seg2;103;4945;4451;23
01/04/2017;seg2;104;9899;8909;18,36
01/04/2017;seg2;104;4111;3700;50,25
01/04/2017;seg2;104;8023;7221;23
01/04/2017;seg2;104;1076;968;35,33
01/04/2017;seg3;100;5654;5089;21
01/04/2017;seg3;100;8138;7324;62,58
01/04/2017;seg3;100;9937;8943;15
01/04/2017;seg3;100;9683;8715;23
01/04/2017;seg3;101;1441;1297;35,58
01/04/2017;seg3;101;4606;4145;39
01/04/2017;seg3;101;6696;6026;14,25
01/04/2017;seg3;101;6580;5922;40
01/04/2017;seg3;102;1174;1057;14,42
01/04/2017;seg3;102;2942;2648;50
01/04/2017;seg3;102;9724;8752;45,33
01/04/2017;seg3;102;4123;3711;19
01/04/2017;seg3;103;6798;6118;20
01/04/2017;seg3;103;9447;8502;31,44
01/05/2017;seg1;100;3170;2853;25
01/05/2017;seg1;100;7900;7110;25
01/05/2017;seg1;101;9134;8221;20
01/05/2017;seg1;101;6288;5659;49
01/05/2017;seg1;101;3413;3072;66,54
01/05/2017;seg1;101;9987;8988;24
01/05/2017;seg1;102;3789;3410;13
01/05/2017;seg1;102;1303;1173;16
01/05/2017;seg1;102;884;796;24,33
01/05/2017;seg1;102;612;551;17
01/05/2017;seg1;103;7238;6514;45,36
01/05/2017;seg1;103;7238;6514;41
01/05/2017;seg1;103;7665;6899;30,11
01/05/2017;seg1;103;3267;2940;24
01/05/2017;seg1;104;7325;6593;27,35
01/05/2017;seg1;104;5566;5009;41
01/05/2017;seg1;104;5524;4972;39
01/05/2017;seg1;104;159;143;21,5
01/05/2017;seg2;100;7268;6541;13,5
01/05/2017;seg2;100;8295;7466;32
01/05/2017;seg2;100;9484;8536;14
01/05/2017;seg2;100;6347;5712;26
01/05/2017;seg2;101;4380;3942;42,22
01/05/2017;seg2;101;9947;8952;46
01/05/2017;seg2;101;1914;1723;40
01/05/2017;seg2;101;9351;8416;63,28
01/05/2017;seg2;102;1302;1172;23
01/05/2017;seg2;102;5035;4532;27
01/05/2017;seg2;102;1571;1414;70,14
01/05/2017;seg2;102;7419;6677;13
01/05/2017;seg2;103;3899;3509;25
01/05/2017;seg2;103;1798;1618;65,3
01/05/2017;seg2;103;6693;6024;52,5
01/05/2017;seg2;103;6807;6126;28
01/05/2017;seg2;104;9419;8477;50,25
01/05/2017;seg2;104;9247;8322;19
01/05/2017;seg2;104;6833;6150;31,3
01/05/2017;seg2;104;3353;3018;34
01/05/2017;seg3;100;8044;7240;13,33
01/05/2017;seg3;100;2729;2456;98,25
01/05/2017;seg3;100;5411;4870;28,55
01/05/2017;seg3;100;9099;8189;66,32
01/05/2017;seg3;101;3876;3488;32
01/05/2017;seg3;101;6547;5892;49
01/05/2017;seg3;101;6812;6131;48,5
01/05/2017;seg3;101;5030;4527;31
01/05/2017;seg3;102;8070;7263;33,25
01/05/2017;seg3;102;3990;3591;25
01/05/2017;seg3;102;7340;6606;17,5
01/05/2017;seg3;102;4378;3940;43
01/05/2017;seg3;103;6270;5643;29,3
01/05/2017;seg3;103;7951;7156;41
01/05/2017;seg3;103;3211;2890;32,7
01/05/2017;seg3;103;2910;2619;33
01/05/2017;seg3;104;9171;8254;13,61
01/05/2017;seg3;104;2746;2471;25,33
01/05/2017;seg3;104;9486;8537;35
01/05/2017;seg3;104;532;479;48,5
